Year,state_code,parent_metro_region,sales_price,list_prices,home_sold,total_sales,off_market_in_two_weeks
2021,NC,"Rocky Mount, NC",12645960.0,14569379.0795,4273.9200534,3536.498116,6.1623578130000007
2021,NC,"Shelby, NC",6418000.0,5877244.5,1796.0,1637.0,4.7940108100000005
2021,NE,"Beatrice, NE",9217560.7249000017,8470097.0996,1102.4387624199999,1030.2072639599999,20.070381467
2021,NE,"Fremont, NE",12785954.664700001,12983725.197999999,1836.4818035,1791.6111027,36.5638049
2021,NH,"Concord, NH",31491629.305000003,31681287.587,9436.1764045,8531.2607646,56.079157027
2021,NH,"Rockingham County, NH",42378936.900999993,42816392.963999994,30170.399043999998,27490.418775999995,48.207975979999993
2021,NH,"Berlin, NH",17469731.995699998,16236937.9179,2636.9863835,1744.2285846,20.590800734000002
2021,NH,"Laconia, NH",34751671.636,34736942.87,5897.9824385,5501.3851252,44.610999591000009
2021,NJ,"Newark, NJ",42890523.519999996,43290318.055999994,113344.93691799999,99859.802375,29.940016699
2021,NJ,"Ocean City, NJ",63965209.999,70461833.383,17470.64718,14133.5460743,39.918308785
2021,NJ,"Atlantic City, NJ",24740556.384000003,25890403.975,23195.698734000005,17126.974304,12.067283414999999
2021,NJ,"New Brunswick, NJ",40146483.551000006,41681105.187,162600.88606,145095.149732,40.158455056
2021,NJ,"Trenton, NJ",30200799.669999998,26648984.484000005,20610.92871,18844.338721,35.321466048000005
2021,NJ,"Vineland, NJ",12575655.962299999,12802543.021699999,7229.5725485999992,6502.1385346000006,29.296884013000003
2021,NM,"Taos, NM",20433775.0,19572370.64,1142.6603908,228.0,1.093589744
2021,NM,"Las Cruces, NM",18457163.0,19027223.0,10218.5458709,8587.4311631,6.2982302730000015
2021,NM,"Ruidoso, NM",16434189.0,15725844.5,1718.0,992.0,1.929831428
2021,NM,"Grants, NM",3947350.0,4667325.0,70.0,85.228283803,7.566666667
2021,NM,"Espa??ola, NM",7070570.0,8233649.0,304.0,174.0,8.259873462
2021,NM,"Las Vegas, NM",5985912.5,5932150.0,164.0,96.0,3.4714285719999998
2021,NM,"Los Alamos, NM",37833911.966,37097682.129,1324.3684117999999,1275.9995063,60.513324488
2021,NV,"Fernley, NV",23047096.922000002,20144450.0,5119.2678205,4695.441294,20.809270705
2021,NV,"Gardnerville Ranchos, NV",50927507.5,47440100.781,4499.8084651,3929.955099,24.174785385
2021,NV,"Carson City, NV",33083133.0,31491448.764000002,3498.5038648000009,3146.1044431000005,21.174477937000002
2021,NV,"Pahrump, NV",22631562.0,23830180.567,3362.1452308000003,3022.0,29.174752760999997
2021,NV,"Las Vegas, NV",34533614.615,35733728.322000004,201509.68431,189975.97573,51.510406786000004
2021,NY,"Syracuse, NY",18678269.784999996,17684676.294,29748.624933,27924.346345999995,53.456173627
2021,NY,"Buffalo, NY",20787952.302,20802467.095000003,49507.574434999995,49043.183440999994,70.927085114000008
2021,NY,"New York, NY",71603512.495999992,75424233.138,330629.87783,254956.62852000003,26.481361399
2021,NY,"Gloversville, NY",9493535.8576,8065496.5438,2575.2066623,2120.71277803,24.160483089000003
2021,NY,"Batavia, NY",8825147.1758,8826099.442499999,2237.8357226999997,2156.9788895999995,34.418192287000004
